hotel_id,name,city,location (lat/lon),price_per_night,rating,contact_number,amenities (array)
1001,Heritage Kanyakumari Residency,Kanyakumari,"8.1256, 77.4898",12347,3.9,9525343003,"['Gym', 'Free Breakfast', 'Parking', 'AC', 'Wi-Fi']"
1002,Grand Chennai Plaza,Chennai,"13.0649, 80.2960",9185,4.2,9435347855,"['Parking', 'Spa', 'Room Service', 'Wi-Fi', 'Gym']"
1003,Heritage Madurai Towers,Madurai,"9.9705, 78.0790",12643,3.4,9500094753,"['Gym', 'Wi-Fi', 'Pool', 'Spa']"
1004,Heritage Madurai Plaza,Madurai,"9.9191, 78.1623",12482,3.7,9559109408,"['Parking', 'Gym', 'Wi-Fi', 'Spa', 'AC', 'Free Breakfast']"
1005,Grand Tiruchirappalli Residency,Tiruchirappalli,"10.8001, 78.7331",7254,4.1,9387072372,"['Spa', 'Room Service', 'AC', 'Gym']"
1006,Royal Madurai Suites,Madurai,"9.9425, 78.1035",9696,4.5,9512177638,"['Pool', 'Wi-Fi', 'Spa', 'Parking', 'Free Breakfast']"
1007,City Chennai Palace,Chennai,"13.1038, 80.2348",12665,3.8,9512428301,"['AC', 'Parking', 'Spa', 'Pool', 'Free Breakfast']"
1008,Lake View Kanyakumari Inn,Kanyakumari,"8.1050, 77.5710",10659,3.8,9518732618,"['Parking', 'Pool', 'Room Service', 'Spa', 'AC', 'Free Breakfast', 'Gym', 'Wi-Fi']"
1009,Grand Coimbatore Plaza,Coimbatore,"10.9875, 77.0022",9128,3.3,9659195286,"['Spa', 'Pool', 'Room Service', 'Parking']"
1010,Green Kanyakumari View,Kanyakumari,"8.0739, 77.5840",5509,3.5,9563584635,"['Room Service', 'Spa', 'AC', 'Pool', 'Gym']"
1011,Grand Chennai View,Chennai,"13.0857, 80.2658",13748,3.6,9842587027,"['AC', 'Spa', 'Gym', 'Free Breakfast']"
1012,Green Tiruchirappalli Plaza,Tiruchirappalli,"10.7441, 78.7129",5132,3.4,9897215869,"['Wi-Fi', 'AC', 'Spa', 'Room Service']"
1013,Lake View Madurai Suites,Madurai,"9.8935, 78.0931",1892,4.8,9805651368,"['Room Service', 'Spa', 'Parking', 'Gym', 'AC', 'Wi-Fi']"
1014,The Kanyakumari Palace,Kanyakumari,"8.0435, 77.5211",14252,4.1,9686202632,"['Gym', 'Spa', 'Parking', 'Wi-Fi', 'Pool']"
1015,Heritage Madurai Suites,Madurai,"9.9672, 78.1682",5615,4.2,9432221586,"['Room Service', 'Free Breakfast', 'Pool', 'Gym', 'Parking', 'Wi-Fi', 'Spa']"
1016,Lake View Coimbatore Palace,Coimbatore,"11.0153, 76.9904",8275,4.3,9212141741,"['AC', 'Parking', 'Spa', 'Pool', 'Room Service', 'Free Breakfast', 'Gym']"
1017,Green Madurai Towers,Madurai,"9.9737, 78.1240",12831,3.5,9206264560,"['Room Service', 'AC', 'Gym']"
1018,Lake View Madurai Inn,Madurai,"9.9202, 78.1216",7771,4.1,9489022605,"['Free Breakfast', 'Gym', 'Wi-Fi', 'Pool']"
1019,The Tiruchirappalli Residency,Tiruchirappalli,"10.8287, 78.7335",5618,3.6,9118164633,"['AC', 'Parking', 'Free Breakfast', 'Spa', 'Pool', 'Wi-Fi']"
1020,Heritage Coimbatore Towers,Coimbatore,"11.0251, 76.9949",8121,3.8,9925438366,"['Spa', 'AC', 'Pool', 'Free Breakfast', 'Parking', 'Room Service', 'Wi-Fi', 'Gym']"
1021,Grand Coimbatore View,Coimbatore,"11.0566, 76.9965",13596,3.6,9447809090,"['Parking', 'Wi-Fi', 'AC', 'Spa', 'Room Service']"
1022,The Chennai View,Chennai,"13.0581, 80.2500",3515,4.1,9399412359,"['Wi-Fi', 'Parking', 'AC', 'Pool', 'Spa', 'Free Breakfast', 'Gym']"
1023,Green Coimbatore Plaza,Coimbatore,"11.0032, 76.9377",14548,3.4,9937352239,"['Parking', 'Gym', 'AC', 'Pool', 'Room Service', 'Spa']"
1024,City Madurai Residency,Madurai,"9.9685, 78.1282",3285,3.6,9481981570,"['Gym', 'Parking', 'Wi-Fi']"
1025,Green Tiruchirappalli View,Tiruchirappalli,"10.7848, 78.7299",3974,3.4,9589083820,"['Spa', 'AC', 'Free Breakfast']"
1026,Grand Tiruchirappalli Palace,Tiruchirappalli,"10.7606, 78.6658",4197,4.8,9316768794,"['Room Service', 'AC', 'Parking']"
1027,Heritage Kanyakumari Palace,Kanyakumari,"8.0416, 77.5423",9329,4.2,9988408414,"['Wi-Fi', 'Parking', 'Pool', 'Free Breakfast']"
1028,The Tiruchirappalli View,Tiruchirappalli,"10.8043, 78.6810",10135,4.4,9732463804,"['Room Service', 'Spa', 'AC', 'Wi-Fi']"
1029,City Tiruchirappalli Palace,Tiruchirappalli,"10.8304, 78.7432",13695,3.5,9991564495,"['Spa', 'Gym', 'Wi-Fi', 'Pool', 'Room Service']"
1030,City Coimbatore Palace,Coimbatore,"11.0586, 76.9081",11661,4.0,9222097129,"['Room Service', 'Gym', 'Pool', 'Spa', 'Wi-Fi', 'AC', 'Parking']"
1031,City Madurai Palace,Madurai,"9.9281, 78.1391",3906,3.9,9600764394,"['Gym', 'Room Service', 'Parking', 'Pool', 'Wi-Fi', 'Spa', 'AC', 'Free Breakfast']"
1032,City Tiruchirappalli View,Tiruchirappalli,"10.7951, 78.7304",5770,3.9,9935415169,"['Room Service', 'Free Breakfast', 'Pool', 'AC']"
1033,City Coimbatore Residency,Coimbatore,"11.0567, 76.9514",12887,4.4,9798151436,"['Spa', 'Free Breakfast', 'Pool', 'Gym', 'Room Service', 'Parking', 'Wi-Fi', 'AC']"
1034,Green Madurai Suites,Madurai,"9.9569, 78.1339",12218,4.0,9952769111,"['Wi-Fi', 'Parking', 'Free Breakfast']"
1035,Lake View Chennai Inn,Chennai,"13.0519, 80.2680",4566,4.4,9631755962,"['Parking', 'Pool', 'Spa', 'Gym', 'Free Breakfast']"
1036,The Madurai Residency,Madurai,"9.9253, 78.1428",14573,4.1,9888353509,"['AC', 'Room Service', 'Wi-Fi', 'Free Breakfast', 'Pool', 'Gym']"
1037,Lake View Tiruchirappalli Suites,Tiruchirappalli,"10.7851, 78.6739",7156,3.6,9867540671,"['Pool', 'AC', 'Spa', 'Wi-Fi']"
1038,Heritage Tiruchirappalli Inn,Tiruchirappalli,"10.8273, 78.6739",11729,4.0,9656873849,"['Free Breakfast', 'Parking', 'Pool', 'Spa', 'Room Service']"
1039,The Madurai Inn,Madurai,"9.9126, 78.1525",12298,4.5,9599588830,"['Spa', 'Parking', 'Free Breakfast', 'AC', 'Gym', 'Wi-Fi', 'Room Service']"
1040,Grand Kanyakumari Palace,Kanyakumari,"8.0653, 77.4935",5372,3.6,9154945645,"['AC', 'Gym', 'Free Breakfast', 'Room Service', 'Wi-Fi']"
1041,Lake View Madurai Plaza,Madurai,"9.9389, 78.1052",8141,3.7,9355633729,"['AC', 'Gym', 'Spa']"
1042,City Madurai View,Madurai,"9.8859, 78.0961",9990,3.9,9136356183,"['Spa', 'AC', 'Pool', 'Free Breakfast']"
1043,Royal Tiruchirappalli Palace,Tiruchirappalli,"10.8164, 78.7075",13268,4.2,9192081460,"['Parking', 'Pool', 'Room Service', 'Gym', 'AC']"
1044,Heritage Chennai Palace,Chennai,"13.0925, 80.2514",5144,3.6,9586111588,"['Free Breakfast', 'Wi-Fi', 'Gym', 'Spa']"
1045,Green Tiruchirappalli Residency,Tiruchirappalli,"10.8342, 78.6758",14907,4.1,9758818356,"['Free Breakfast', 'AC', 'Gym', 'Pool']"
1046,Heritage Coimbatore Residency,Coimbatore,"10.9918, 76.9303",12880,4.2,9409196887,"['Spa', 'Wi-Fi', 'Pool', 'Room Service', 'Gym']"
1047,Grand Kanyakumari Inn,Kanyakumari,"8.1023, 77.5611",13304,3.9,9730288960,"['Wi-Fi', 'Parking', 'AC', 'Free Breakfast', 'Spa', 'Gym', 'Room Service']"
1048,The Chennai Inn,Chennai,"13.0917, 80.3047",5621,3.6,9338888098,"['Spa', 'AC', 'Wi-Fi', 'Free Breakfast']"
1049,Lake View Coimbatore Inn,Coimbatore,"11.0228, 76.9447",12778,3.6,9469393627,"['Parking', 'Pool', 'Free Breakfast', 'AC', 'Gym', 'Room Service']"
1050,Grand Tiruchirappalli View,Tiruchirappalli,"10.7885, 78.7327",11010,4.6,9518276331,"['AC', 'Pool', 'Free Breakfast']"
